pl_name,hostname,pl_rade,pl_orbper,pl_orbsmax,st_teff,st_rad,discoverymethod,disc_year,ra,dec,sy_dist
"Kepler-477 b","Kepler-477",2.07000000,11.11990653000,0.0911000000,5240.00,0.790000,"Transit",2016,288.0674450,42.3553050,367.00000000
"Kepler-505 b","Kepler-505",2.60000000,27.52197994000,0.1445000000,3931.00,0.530000,"Transit",2016,287.8579530,42.5426758,283.41000000
"Kepler-499 b","Kepler-499",2.17000000,5.63252845300,0.0598000000,5312.00,0.830000,"Transit",2016,295.1099549,43.9151012,556.72600000
"HD 141399 b","HD 141399",14.30000000,94.44000000000,0.4150000000,5600.00,1.387236,"Radial Velocity",2014,236.7235392,46.9862880,37.01690000
"HD 141399 c","HD 141399",13.60000000,201.99000000000,0.6890000000,5600.00,1.387236,"Radial Velocity",2014,236.7235392,46.9862880,37.01690000
"Kepler-745 b","Kepler-745",2.16000000,9.93143556000,0.0915000000,5849.00,1.040000,"Transit",2016,291.4994412,37.0592571,1780.38000000
"Kepler-848 b","Kepler-848",1.70000000,6.91134416000,0.0758600000,5695.00,1.200000,"Transit",2016,293.2882949,48.8116114,1378.47000000
"Kepler-794 b","Kepler-794",2.11000000,11.13125132000,0.1003600000,5839.00,1.380000,"Transit",2016,288.1336793,38.9968923,931.19200000
"Kepler-796 b","Kepler-796",1.30000000,6.40087618000,0.0731700000,5475.00,1.090000,"Transit",2016,287.3078999,39.1447097,817.58400000
"HD 141399 e","HD 141399",14.10000000,5000.00000000000,5.0000000000,5600.00,1.387236,"Radial Velocity",2014,236.7235392,46.9862880,37.01690000
"WASP-42 b","WASP-42",12.57649800,4.98168190000,0.0561000000,5315.00,0.892000,"Transit",2012,192.9812030,-42.0736165,177.29100000
"HD 11506 c","HD 11506",14.00000000,223.92000000000,0.7710000000,6123.00,1.240000,"Radial Velocity",2008,28.2106607,-19.5073960,51.26100000
"Kepler-753 b","Kepler-753",1.91000000,5.74772501200,0.0540000000,4346.00,0.650000,"Transit",2016,291.9032411,37.9023677,274.76700000
"Kepler-752 b","Kepler-752",2.81000000,18.82747265000,0.1353000000,5373.00,0.830000,"Transit",2016,292.2681469,37.9556720,1232.29000000
"Kepler-846 b","Kepler-846",2.48000000,19.80792185000,0.1399000000,5579.00,0.910000,"Transit",2016,287.0570731,49.0460112,1127.12000000
"Kepler-845 b","Kepler-845",2.04000000,0.92785982100,0.0166800000,4913.00,0.750000,"Transit",2016,290.9576363,49.2037262,431.05100000
"K2-28 b","K2-28",2.32000000,2.26045500000,0.0214000000,3214.00,0.288000,"Transit",2016,335.6233145,-7.9563525,62.99690000
"Kepler-771 b","Kepler-771",1.82000000,8.73485836000,0.0843000000,5906.00,1.050000,"Transit",2016,287.4441104,38.0884183,1393.85000000
"Kepler-773 b","Kepler-773",1.43000000,3.74910006100,0.0468200000,5850.00,1.010000,"Transit",2016,290.8846217,38.0575539,547.02600000
"Kepler-844 b","Kepler-844",1.68000000,2.61302085600,0.0298000000,4128.00,0.570000,"Transit",2016,287.8578541,48.7739646,431.77600000
"Kepler-843 b","Kepler-843",2.59000000,2.05387982100,0.0313000000,5830.00,1.030000,"Transit",2016,296.3219786,48.9714373,1165.66000000
"HIP 74890 b","HIP 74890",13.30000000,822.30000000000,2.1000000000,4850.00,5.770000,"Radial Velocity",2016,229.5714974,-41.4210961,78.65620000
"HR 8799 b","HR 8799",13.00000000,170000.00000000000,68.0000000000,7204.58,1.493380,"Imaging",2008,346.8701486,21.1340376,41.24410000
"K2-29 b","K2-29",13.33871000,3.25883210000,0.0421700000,5358.00,0.860000,"Transit",2016,62.6704220,24.4016558,178.47500000
"Kepler-767 b","Kepler-767",6.64000000,161.52801010000,0.5874000000,5694.00,0.940000,"Transit",2016,291.5791562,38.0358066,2251.03000000
"Kepler-774 b","Kepler-774",3.17000000,11.08957230000,0.1082000000,6403.00,2.420000,"Transit",2016,291.0318604,38.2118940,917.80400000
"Kepler-841 b","Kepler-841",5.23000000,124.41983980000,0.4790000000,5324.00,0.810000,"Transit",2016,284.2513637,48.8095962,998.96100000
"Kepler-842 b","Kepler-842",1.60000000,1.21956827000,0.0204000000,4848.00,0.730000,"Transit",2016,292.3285976,49.6535171,532.72600000
"Kepler-839 b","Kepler-839",2.57000000,37.81445140000,0.2316000000,6058.00,1.310000,"Transit",2016,291.0746840,45.2425440,944.56100000
"HATS-17 b","HATS-17",8.70939300,16.25461100000,0.1308000000,5846.00,1.091000,"Transit",2016,192.1895676,-47.6136789,400.33100000
"HD 133131 A b","HD 133131 A",13.60000000,649.00000000000,1.4400000000,5799.00,0.955014,"Radial Velocity",2016,225.8984524,-27.8431369,51.47360000
"Kepler-770 b","Kepler-770",2.30000000,18.92540274000,0.1694000000,5598.00,0.920000,"Transit",2016,286.4904589,38.3748720,930.45700000
"Kepler-769 b","Kepler-769",2.92000000,7.42608998000,0.0778000000,6186.00,1.280000,"Transit",2016,292.7130925,38.3581685,1169.57000000
"HD 133131 B b","HD 133131 B",13.30000000,5769.00000000000,6.1500000000,5805.00,0.989538,"Radial Velocity",2016,225.8999745,-27.8415947,51.29930000
"WASP-92 b","WASP-92",16.37634900,2.17467420000,0.0348000000,6280.00,1.341000,"Transit",2016,246.6920395,51.0411328,575.88900000
